s, 	 Rs, 	 dRs
0, 	-0.4000000000000000222, 	1
0.010101010101010101869, 	-0.38958694496451934386, 	1.0623504338400473479
0.020202020202020203737, 	-0.37852800413917997435, 	1.1277767011211836667
0.030303030303030303871, 	-0.36679561573178598444, 	1.1955636034404708568
0.040404040404040407475, 	-0.35437004778322145349, 	1.2648786259815698596
0.050505050505050504139, 	-0.34124049208794970944, 	1.3347911988696656849
0.060606060606060607743, 	-0.32740592740592744381, 	1.4042989977055913009
0.070707070707070704407, 	-0.3128756856029583644, 	1.4723602315739909852
0.08080808080808081495, 	-0.29766966832318253466, 	1.5379302166116031181
0.090909090909090911614, 	-0.28181818181818180102, 	1.6000000000000003109
0.10101010101010100828, 	-0.26536138200749792571, 	1.6576344681103387657
0.11111111111111110494, 	-0.24834834834834837447, 	1.7100073046018993139
0.12121212121212121549, 	-0.23083583083583084083, 	1.7564303828040093158
0.13131313131313132603, 	-0.21288673661555015948, 	1.7963756602899707548
0.14141414141414140881, 	-0.19456843887981617458, 	1.8294883287317582621
0.15151515151515151936, 	-0.17595099935525471135, 	1.8555907650520597763
0.1616161616161616299, 	-0.15710539622064650933, 	1.8746776241697513665
0.17171717171717171269, 	-0.13810184222083535244, 	1.8869031099288366971
0.18181818181818182323, 	-0.11900826446280990401, 	1.892561983471074516
0.19191919191919190602, 	-0.099888999888999907562, 	1.8920661755826593264
0.20202020202020201656, 	-0.080803740954116909379, 	1.8859189557444326901
0.2121212121212121271, 	-0.061806746712407073518, 	1.8746885012459952868
0.22222222222222220989, 	-0.042946317103620484934, 	1.8589824517106428026
0.23232323232323232043, 	-0.024264513926541803057, 	1.839424684497389606
0.24242424242424243097, 	-0.0057971014492753381031, 	1.8166351606805291041
0.25252525252525254151, 	0.012426327060473474351, 	1.7912133169534900645
0.26262626262626265206, 	0.030382073694175643075, 	1.7637251500868105225
0.27272727272727270709, 	0.048051948051948012441, 	1.7346938775510205577
0.28282828282828281763, 	0.065422801887362047601, 	1.7045938678904728469
0.29292929292929292817, 	0.082486017196760977321, 	1.6738474147940713976
0.30303030303030303871, 	0.099236974057117927073, 	1.6428238704000828196
0.31313131313131314926, 	0.11567451953850720059, 	1.6118406436555354766
0.3232323232323232598, 	0.13180045413055127557, 	1.5811655951377667773
0.33333333333333331483, 	0.1476190476190475942, 	1.5510204081632652517
0.34343434343434342537, 	0.16313659240488506685, 	1.5215845767218250106
0.35353535353535353591, 	0.17836099895319271202, 	1.4929997156049554796
0.36363636363636364646, 	0.19330143540669861291, 	1.4653739612188365626
0.373737373737373757, 	0.20796801135571524322, 	1.4387862892370857359
0.38383838383838381203, 	0.22237150426126800484, 	1.4132906253978188005
0.39393939393939392257, 	0.23652312599681019067, 	1.3889196675900277178
0.40404040404040403311, 	0.25043432632365431045, 	1.3656883709911968872
0.41414141414141414366, 	0.26411662976548477832, 	1.3435970740490124076
0.4242424242424242542, 	0.27758150222605193491, 	1.3226342624828730798
0.43434343434343436474, 	0.29084024373953165643, 	1.3027789822713491397
0.44444444444444441977, 	0.30390390390390387143, 	1.2840029218407598144
0.45454545454545453032, 	0.31678321678321674781, 	1.2662721893491122316
0.46464646464646464086, 	0.32948855234307283801, 	1.2495488139213626333
0.4747474747474747514, 	0.34202988178143456377, 	1.2337920006550517904
0.48484848484848486194, 	0.35441675441675440927, 	1.2189591687661185393
0.49494949494949497248, 	0.36665828408567002761, 	1.2050068008470928849
0.50505050505050508303, 	0.3787631432753874039, 	1.1918911292213592024
0.51515151515151513806, 	0.39073956346683619278, 	1.179568683065186363
0.52525252525252530411, 	0.40259534039150446372, 	1.1679967175279171165
0.53535353535353535914, 	0.41433784310696186726, 	1.1571335436460847834
0.54545454545454541417, 	0.42597402597402594937, 	1.1469387755102040671
0.55555555555555558023, 	0.43751044277360073842, 	1.137373508960370927
0.56565656565656563526, 	0.44895326233517685033, 	1.1284004440903756539
0.57575757575757580131, 	0.46030828516377653159, 	1.119983962043502812
0.58585858585858585634, 	0.47158096064978660689, 	1.1120901649877825701
0.59595959595959591137, 	0.48277640452867037757, 	1.1046868867571491002
0.60606060606060607743, 	0.49389941632685696593, 	1.0977436804255051861
0.61616161616161613246, 	0.50495449658796265346, 	1.0912317880279842619
0.62626262626262629851, 	0.51594586372149242592, 	1.0851240967412709715
0.63636363636363635354, 	0.52687747035573118115, 	1.0793950850661624408
0.6464646464646465196, 	0.53775301910895134672, 	1.0740207619044379594
0.65656565656565657463, 	0.54857597771941413178, 	1.0689786008735775447
0.66666666666666662966, 	0.55934959349593493805, 	1.0642474717430101538
0.67676767676767679571, 	0.57007690706780311807, 	1.0598075704919378559
0.68686868686868685074, 	0.58076076542634458288, 	1.0556403491702266439
0.6969696969696970168, 	0.59140383426097720143, 	1.0517284464806331279
0.70707070707070707183, 	0.60200860960075264217, 	1.0480556197841779387
0.71717171717171712686, 	0.61257742877854604036, 	1.044606679053409648
0.72727272727272729291, 	0.62311248073959946137, 	1.0413674231542660031
0.73737373737373734794, 	0.63361581571936242963, 	1.0383245787207988631
0.747474747474747514, 	0.64408935431775560243, 	1.035465741793542449
0.75757575757575756903, 	0.6545348959983106063, 	1.0327793223178622917
0.76767676767676762406, 	0.66495412704131329207, 	1.0302544915399014513
0.77777777777777779011, 	0.67534862798020700581, 	1.0278811322919569893
0.78787878787878784514, 	0.6857198805502521255, 	1.025649792123937587
0.7979797979797980112, 	0.69606927417785569023, 	1.0235516392110195483
0.80808080808080806623, 	0.70639811203817359786, 	1.0215784209481038047
0.81818181818181823228, 	0.71670761670761673479, 	1.0197224251278305118
0.82828282828282828731, 	0.72699893543679183772, 	1.017976443589609481
0.83838383838383834235, 	0.73727314506824526141, 	1.0163337382214556737
0.8484848484848485084, 	0.74753125662216579617, 	1.0147880091936036795
0.85858585858585856343, 	0.75777421957197244051, 	1.0133333653023017806
0.86868686868686872948, 	0.76800292583049678541, 	1.0119642963033457228
0.87878787878787878451, 	0.77821821346625519311, 	1.0106756471173707901
0.88888888888888883955, 	0.78842087016813999778, 	1.0094625937923631387
0.8989898989898990056, 	0.79861163647571420388, 	1.0083206211129940311
0.90909090909090906063, 	0.80879120879120880439, 	1.0072455017509960307
0.91919191919191922668, 	0.81896024218827523367, 	1.0062332768557427087
0.92929292929292928171, 	0.8291193530315493776, 	1.0052802379892864515
0.93939393939393944777, 	0.83926912142015130947, 	1.0043829103152868143
0.9494949494949495028, 	0.84941009346734308583, 	1.003538036956392876
0.95959595959595955783, 	0.85954278342774559363, 	1.0027425644397205406
0.96969696969696972388, 	0.86966767568271330369, 	1.0019936291549804697
0.97979797979797977892, 	0.87978522659373725734, 	1.0012885447545851747
0.98989898989898994497, 	0.88989586623305561019, 	1.0006247904296294848
1, 	0.9000000000000000222, 	1
