iter,	 x,	 y
0,	0.9000000000000000222,	 0.23076923076923094857
1,	0.96976744186046515139,	 0.049554318423152166062
2,	0.95280827408899571029,	 0.0025260194705757355038
3,	0.95191508460453744256,	 0.00033631551764201628174
4,	0.95202003160936199411,	 2.0051089733019722416e-06
5,	0.9520194096248758564,	 1.5727348312566391542e-09
6,	0.95201940913663329891,	 7.771561172376095783e-16
