s, 	 Rs, 	 dRs
0, 	-1.2000000000000001776, 	1
0.010101010101010101869, 	-1.1895869449645193328, 	1.0623504338400473479
0.020202020202020203737, 	-1.1785280041391799077, 	1.1277767011211836667
0.030303030303030303871, 	-1.1667956157317860288, 	1.1955636034404708568
0.040404040404040407475, 	-1.1543700477832214979, 	1.2648786259815698596
0.050505050505050504139, 	-1.1412404920879497539, 	1.3347911988696656849
0.060606060606060607743, 	-1.1274059274059273772, 	1.4042989977055913009
0.070707070707070704407, 	-1.1128756856029582423, 	1.4723602315739909852
0.08080808080808081495, 	-1.0976696683231825791, 	1.5379302166116031181
0.090909090909090911614, 	-1.0818181818181817899, 	1.6000000000000003109
0.10101010101010100828, 	-1.0653613820074978591, 	1.6576344681103387657
0.11111111111111110494, 	-1.0483483483483484466, 	1.7100073046018993139
0.12121212121212121549, 	-1.0308358308358309685, 	1.7564303828040093158
0.13131313131313132603, 	-1.0128867366155500651, 	1.7963756602899707548
0.14141414141414140881, 	-0.99456843887981616348, 	1.8294883287317582621
0.15151515151515151936, 	-0.97595099935525475576, 	1.8555907650520597763
0.1616161616161616299, 	-0.95710539622064649823, 	1.8746776241697513665
0.17171717171717171269, 	-0.93810184222083536909, 	1.8869031099288366971
0.18181818181818182323, 	-0.91900826446280992066, 	1.892561983471074516
0.19191919191919190602, 	-0.89988899988899984095, 	1.8920661755826593264
0.20202020202020201656, 	-0.88080374095411695379, 	1.8859189557444326901
0.2121212121212121271, 	-0.86180674671240709017, 	1.8746885012459952868
0.22222222222222220989, 	-0.84294631710362044608, 	1.8589824517106428026
0.23232323232323232043, 	-0.8242645139265417642, 	1.839424684497389606
0.24242424242424243097, 	-0.80579710144927529925, 	1.8166351606805291041
0.25252525252525254151, 	-0.78757367293952662557, 	1.7912133169534900645
0.26262626262626265206, 	-0.76961792630582437358, 	1.7637251500868105225
0.27272727272727270709, 	-0.75194805194805203197, 	1.7346938775510205577
0.28282828282828281763, 	-0.73457719811263799681, 	1.7045938678904728469
0.29292929292929292817, 	-0.71751398280323908097, 	1.6738474147940713976
0.30303030303030303871, 	-0.70076302594288208958, 	1.6428238704000828196
0.31313131313131314926, 	-0.68432548046149277443, 	1.6118406436555354766
0.3232323232323232598, 	-0.66819954586944874109, 	1.5811655951377667773
0.33333333333333331483, 	-0.6523809523809523947, 	1.5510204081632652517
0.34343434343434342537, 	-0.6368634075951149498, 	1.5215845767218250106
0.35353535353535353591, 	-0.62163900104680736014, 	1.4929997156049554796
0.36363636363636364646, 	-0.60669856459330140375, 	1.4653739612188365626
0.373737373737373757, 	-0.59203198864428463466, 	1.4387862892370857359
0.38383838383838381203, 	-0.57762849573873209508, 	1.4132906253978188005
0.39393939393939392257, 	-0.56347687400318979822, 	1.3889196675900277178
0.40404040404040403311, 	-0.54956567367634567844, 	1.3656883709911968872
0.41414141414141414366, 	-0.53588337023451526608, 	1.3435970740490124076
0.4242424242424242542, 	-0.52241849777394799847, 	1.3226342624828730798
0.43434343434343436474, 	-0.50915975626046838798, 	1.3027789822713491397
0.44444444444444441977, 	-0.49609609609609617298, 	1.2840029218407598144
0.45454545454545453032, 	-0.48321678321678324108, 	1.2662721893491122316
0.46464646464646464086, 	-0.4705114476569272064, 	1.2495488139213626333
0.4747474747474747514, 	-0.45797011821856542513, 	1.2337920006550517904
0.48484848484848486194, 	-0.44558324558324563514, 	1.2189591687661185393
0.49494949494949497248, 	-0.4333417159143300168, 	1.2050068008470928849
0.50505050505050508303, 	-0.42123685672461264051, 	1.1918911292213592024
0.51515151515151513806, 	-0.40926043653316385162, 	1.179568683065186363
0.52525252525252530411, 	-0.39740465960849558069, 	1.1679967175279171165
0.53535353535353535914, 	-0.38566215689303817715, 	1.1571335436460847834
0.54545454545454541417, 	-0.37402597402597409504, 	1.1469387755102040671
0.55555555555555558023, 	-0.36248955722639930599, 	1.137373508960370927
0.56565656565656563526, 	-0.35104673766482319408, 	1.1284004440903756539
0.57575757575757580131, 	-0.33969171483622351282, 	1.119983962043502812
0.58585858585858585634, 	-0.32841903935021343752, 	1.1120901649877825701
0.59595959595959591137, 	-0.31722359547132966684, 	1.1046868867571491002
0.60606060606060607743, 	-0.30610058367314307848, 	1.0977436804255051861
0.61616161616161613246, 	-0.29504550341203739094, 	1.0912317880279842619
0.62626262626262629851, 	-0.28405413627850761848, 	1.0851240967412709715
0.63636363636363635354, 	-0.27312252964426886326, 	1.0793950850661624408
0.6464646464646465196, 	-0.26224698089104869769, 	1.0740207619044379594
0.65656565656565657463, 	-0.25142402228058591263, 	1.0689786008735775447
0.66666666666666662966, 	-0.24065040650406505085, 	1.0642474717430101538
0.67676767676767679571, 	-0.22992309293219687083, 	1.0598075704919378559
0.68686868686868685074, 	-0.21923923457365548928, 	1.0556403491702266439
0.6969696969696970168, 	-0.20859616573902287073, 	1.0517284464806331279
0.70707070707070707183, 	-0.19799139039924743, 	1.0480556197841779387
0.71717171717171712686, 	-0.1874225712214539763, 	1.044606679053409648
0.72727272727272729291, 	-0.17688751926040058304, 	1.0413674231542660031
0.73737373737373734794, 	-0.16638418428063764254, 	1.0383245787207988631
0.747474747474747514, 	-0.15591064568224444198, 	1.035465741793542449
0.75757575757575756903, 	-0.1454651040016893826, 	1.0327793223178622917
0.76767676767676762406, 	-0.1350458729586867801, 	1.0302544915399014513
0.77777777777777779011, 	-0.12465137201979308024, 	1.0278811322919569893
0.78787878787878784514, 	-0.11428011944974794667, 	1.025649792123937587
0.7979797979797980112, 	-0.10393072582214439581, 	1.0235516392110195483
0.80808080808080806623, 	-0.093601887961826488183, 	1.0215784209481038047
0.81818181818181823228, 	-0.08329238329238326799, 	1.0197224251278305118
0.82828282828282828731, 	-0.073001064563208234448, 	1.017976443589609481
0.83838383838383834235, 	-0.062726854931754769118, 	1.0163337382214556737
0.8484848484848485084, 	-0.052468743377834275998, 	1.0147880091936036795
0.85858585858585856343, 	-0.042225780428027631652, 	1.0133333653023017806
0.86868686868686872948, 	-0.031997074169503314511, 	1.0119642963033457228
0.87878787878787878451, 	-0.021781786533744795786, 	1.0106756471173707901
0.88888888888888883955, 	-0.011579129831860018873, 	1.0094625937923631387
0.8989898989898990056, 	-0.001388363524285868289, 	1.0083206211129940311
0.90909090909090906063, 	0.0087912087912087322206, 	1.0072455017509960307
0.91919191919191922668, 	0.018960242188275161501, 	1.0062332768557427087
0.92929292929292928171, 	0.029119353031549360944, 	1.0052802379892864515
0.93939393939393944777, 	0.039269121420151209545, 	1.0043829103152868143
0.9494949494949495028, 	0.049410093467343013662, 	1.003538036956392876
0.95959595959595955783, 	0.05954278342774560473, 	1.0027425644397205406
0.96969696969696972388, 	0.069667675682713287033, 	1.0019936291549804697
0.97979797979797977892, 	0.079785226593737185175, 	1.0012885447545851747
0.98989898989898994497, 	0.089895866233055593542, 	1.0006247904296294848
1, 	0.099999999999999977796, 	1
