s, 	 Rs, 	 dRs
0, 	-0.4000000000000000222, 	1
0.010101010101010101869, 	-0.38989586623305561019, 	1.0006247904296294848
0.020202020202020203737, 	-0.37978522659373725734, 	1.0012885447545851747
0.030303030303030303871, 	-0.36966767568271330369, 	1.0019936291549804697
0.040404040404040407475, 	-0.35954278342774564914, 	1.0027425644397205406
0.050505050505050504139, 	-0.3494100934673429748, 	1.003538036956392876
0.060606060606060607743, 	-0.33926912142015119844, 	1.0043829103152868143
0.070707070707070704407, 	-0.32911935303154948862, 	1.0052802379892864515
0.08080808080808081495, 	-0.31896024218827512264, 	1.0062332768557427087
0.090909090909090911614, 	-0.30879120879120880439, 	1.0072455017509962527
0.10101010101010100828, 	-0.29861163647571414836, 	1.0083206211129942531
0.11111111111111110494, 	-0.2884208701681401088, 	1.0094625937923631387
0.12121212121212121549, 	-0.27821821346625519311, 	1.0106756471173707901
0.13131313131313132603, 	-0.26800292583049667439, 	1.0119642963033457228
0.14141414141414140881, 	-0.257774219571972385, 	1.0133333653023017806
0.15151515151515151936, 	-0.24753125662216574066, 	1.0147880091936036795
0.1616161616161616299, 	-0.23727314506824531692, 	1.0163337382214556737
0.17171717171717171269, 	-0.22699893543679180996, 	1.0179764435896092589
0.18181818181818182323, 	-0.21670761670761670703, 	1.0197224251278305118
0.19191919191919190602, 	-0.20639811203817359786, 	1.0215784209481038047
0.20202020202020201656, 	-0.19606927417785563472, 	1.0235516392110195483
0.2121212121212121271, 	-0.1857198805502521255, 	1.025649792123937365
0.22222222222222220989, 	-0.17534862798020697805, 	1.0278811322919569893
0.23232323232323232043, 	-0.16495412704131331982, 	1.0302544915399014513
0.24242424242424243097, 	-0.15453489599831063406, 	1.0327793223178622917
0.25252525252525254151, 	-0.14408935431775551916, 	1.035465741793542449
0.26262626262626265206, 	-0.13361581571936240187, 	1.0383245787207988631
0.27272727272727270709, 	-0.12311248073959943361, 	1.0413674231542660031
0.28282828282828281763, 	-0.11257742877854612362, 	1.044606679053409648
0.29292929292929292817, 	-0.10200860960075266992, 	1.0480556197841779387
0.30303030303030303871, 	-0.091403834260977118165, 	1.0517284464806331279
0.31313131313131314926, 	-0.080760765426344555129, 	1.055640349170226866
0.3232323232323232598, 	-0.070076907067803090312, 	1.059807570491938078
0.33333333333333331483, 	-0.059349593495935021314, 	1.0642474717430101538
0.34343434343434342537, 	-0.048575977719414159539, 	1.0689786008735773226
0.35353535353535353591, 	-0.037753019108951346716, 	1.0740207619044381815
0.36363636363636364646, 	-0.026877470355731236662, 	1.0793950850661626628
0.373737373737373757, 	-0.015945863721492370413, 	1.0851240967412709715
0.38383838383838381203, 	-0.0049544965879628199978, 	1.0912317880279840399
0.39393939393939392257, 	0.0061005836731430340691, 	1.0977436804255051861
0.40404040404040403311, 	0.017223595471329566919, 	1.1046868867571488781
0.41414141414141414366, 	0.028419039350213448625, 	1.1120901649877827921
0.4242424242424242542, 	0.03969171483622346841, 	1.1199839620435030341
