dt,	 iterations
1,	 425603.0
5,	 98794.0
10,	 56758.0
20,	 34165.0
30,	 25195.0
40,	 19036.0
50,	 16774.0
75,	 11963.0
100,	 9264.0
125,	 6399.0
150,	 6468.0
