dt,	 cputime
1,	 32.8935
5,	 6.61166
10,	 3.33966
20,	 1.68695
30,	 1.10645
40,	 0.85869
50,	 0.693864
75,	 0.439834
100,	 0.354825
125,	 0.267939
150,	 0.180663
