dt,	 iterations
1,	 210556.0
5,	 48704.0
10,	 26586.0
20,	 14495.0
30,	 10467.0
40,	 8127.0
50,	 7189.0
75,	 5091.0
100,	 3828.0
125,	 2593.0
150,	 2536.0
