dt,	 iterations
1,	 8629824.0
5,	 2186930.0
10,	 1221136.0
20,	 687603.0
30,	 487588.0
40,	 400665.0
50,	 337474.0
75,	 232951.0
100,	 195142.0
125,	 153660.0
150,	 108434.0
