dt,	 iterations
1,	 5775951.0
5,	 1245541.0
10,	 665165.0
20,	 368848.0
30,	 260426.0
40,	 217397.0
50,	 185550.0
75,	 130755.0
100,	 116676.0
125,	 93756.0
150,	 66015.0
