dt,	 cputime
1,	 0.538647
5,	 0.110111
10,	 0.055218
20,	 0.028123
30,	 0.019848
40,	 0.014795
50,	 0.029752
75,	 0.020057
100,	 0.015366
125,	 0.010594
150,	 0.010492
