dt,	 iterations
1,	 5773612.0
5,	 1580434.0
10,	 941616.0
20,	 560404.0
30,	 405967.0
40,	 342395.0
50,	 293727.0
75,	 206145.0
100,	 182280.0
125,	 144038.0
150,	 97998.0
