dt,	 cputime
1,	 32.1996
5,	 6.44424
10,	 3.22749
20,	 1.62064
30,	 1.05998
40,	 0.817786
50,	 0.657566
75,	 0.413234
100,	 0.334473
125,	 0.251622
150,	 0.168792
