dt,	 cputime
1,	 32.0388
5,	 6.43443
10,	 3.25191
20,	 1.63726
30,	 1.07448
40,	 0.833211
50,	 0.666183
75,	 0.424317
100,	 0.341525
125,	 0.255605
150,	 0.17335
