dt,	 cputime
1,	 31.2852
5,	 6.3828
10,	 3.19309
20,	 1.60116
30,	 1.04567
40,	 0.801837
50,	 0.641681
75,	 0.407799
100,	 0.327581
125,	 0.249925
150,	 0.165039
