dt,	 iterations
1,	 243532.0
5,	 52178.0
10,	 28662.0
20,	 15864.0
30,	 10902.0
40,	 7884.0
50,	 6900.0
75,	 4632.0
100,	 3332.0
125,	 1680.0
150,	 1730.0
