dt,	 cputime
1,	 0.546282
5,	 0.111691
10,	 0.056266
20,	 0.028587
30,	 0.019197
40,	 0.013619
50,	 0.011735
75,	 0.007873
100,	 0.01556
125,	 0.010674
150,	 0.01068
