dt,	 iterations
1,	 3933727.0
5,	 1042330.0
10,	 628149.0
20,	 376722.0
30,	 278585.0
40,	 241675.0
50,	 212202.0
75,	 151671.0
100,	 134780.0
125,	 107455.0
150,	 73166.0
