y, x
1, 1
2, 1
2, 2
3, 2
3, 3
4, 1
4, 4
4, 5
5, 2
5, 5
6, 3
6, 5
6, 6
7, 4
7, 7
7, 8
8, 5
8, 8
8, 9
9, 9
