dt,	 iterations
1,	 191816.0
5,	 57818.0
10,	 35427.0
20,	 21843.0
30,	 16618.0
40,	 12657.0
50,	 11722.0
75,	 8908.0
100,	 7376.0
125,	 5381.0
150,	 5687.0
