dt,	 cputime
1,	 0.548589
5,	 0.112529
10,	 0.056844
20,	 0.028936
30,	 0.019425
40,	 0.01387
50,	 0.011862
75,	 0.008029
100,	 0.006092
125,	 0.00414
150,	 0.004125
