dt,	 iterations
1,	 209229.0
5,	 51519.0
10,	 29461.0
20,	 16611.0
30,	 11998.0
40,	 8728.0
50,	 7941.0
75,	 5810.0
100,	 4825.0
125,	 3624.0
150,	 3946.0
