dt,	 cputime
1,	 0.570511
5,	 0.11611
10,	 0.058528
20,	 0.029833
30,	 0.020479
40,	 0.024713
50,	 0.021314
75,	 0.014463
100,	 0.010823
125,	 0.007051
150,	 0.007098
