dt,	 iterations
1,	 11413322.0
5,	 2647980.0
10,	 1497364.0
20,	 882332.0
30,	 636859.0
40,	 542292.0
50,	 468509.0
75,	 334798.0
100,	 304995.0
125,	 248782.0
150,	 175351.0
