dt,	 iterations
1,	 8885699.0
5,	 1963417.0
10,	 1053471.0
20,	 575042.0
30,	 388825.0
40,	 306431.0
50,	 250049.0
75,	 161326.0
100,	 134441.0
125,	 105349.0
150,	 73422.0
