dt,	 iterations
1,	 147451.0
5,	 35274.0
10,	 20276.0
20,	 12395.0
30,	 9620.0
40,	 7611.0
50,	 7166.0
75,	 5649.0
100,	 4767.0
125,	 3520.0
150,	 3731.0
