dt,	 iterations
1,	 6117935.0
5,	 1345209.0
10,	 729166.0
20,	 411611.0
30,	 294348.0
40,	 244352.0
50,	 208550.0
75,	 149292.0
100,	 130551.0
125,	 105366.0
150,	 76287.0
