0 	-200 	200 	13.0909	0
1 	-177.112 	177.179 	13.0909	0
2 	-164.74 	164.871 	13.0909	0
3 	-134.195 	134.362 	13.0909	0
4 	-89.73 	89.8906 	13.0909	0
5 	-73.8827 	74.075 	13.0909	0
6 	-69.2917 	69.5398 	13.0909	0
7 	-67.2163 	67.5267 	13.0909	0
8 	-64.9771 	65.3463 	13.0909	0
9 	-61.1875 	61.602 	13.0909	0
10 	-48.4937 	48.8783 	13.0909	0
11 	-45.3217 	45.7468 	13.0909	0
12 	-43.2578 	43.7303 	13.0909	0
13 	-39.6695 	40.1666 	13.0909	0
14 	-35.234 	35.737 	13.0909	0
15 	-30.0623 	30.5502 	13.0909	0
16 	-28.1808 	28.7024 	13.0909	0
60 	-22.8127 	22.8213 	13.0909	0
61 	-21.7886 	21.8321 	13.0909	0
62 	-45.9904 	46.1102 	13.0909	0
63 	-67.0634 	67.2375 	13.0909	0
64 	-40.3573 	40.4887 	13.0909	0
65 	-25.2685 	25.3891 	13.0909	0
66 	-25.1202 	25.3045 	13.0909	0
67 	-25.1814 	25.4268 	13.0909	0
68 	-26.7862 	27.1 	13.0909	0
69 	-35.9532 	36.3868 	13.0909	0
70 	-34.2379 	34.7025 	13.0909	0
71 	-34.7996 	35.3326 	13.0909	0
72 	-36.1041 	36.7116 	13.0909	0
73 	-37.0938 	37.7689 	13.0909	0
74 	-37.4907 	38.2226 	13.0909	0
75 	-35.3333 	36.082 	13.0909	0
76 	-32.6784 	33.4318 	13.0909	0
77 	-28.3858 	29.0989 	13.0909	0
17 	-27.5905 	28.17 	13.0909	0
78 	-25.2228 	25.9163 	13.0909	0
18 	-28.1605 	28.8254 	13.0909	0
120 	-13.2499 	13.2969 	13.0909	0
121 	-12.4546 	12.5427 	13.0909	0
122 	-28.5961 	28.7608 	13.0909	0
123 	-48.8009 	49.0093 	13.0909	0
124 	-33.8729 	34.0533 	13.0909	0
125 	-16.2098 	16.3304 	13.0909	0
126 	-17.1479 	17.3459 	13.0909	0
127 	-17.2969 	17.56 	13.0909	0
128 	-18.9664 	19.3134 	13.0909	0
129 	-21.1217 	21.5464 	13.0909	0
130 	-18.9493 	19.3806 	13.0909	0
131 	-19.9281 	20.4332 	13.0909	0
132 	-22.0839 	22.685 	13.0909	0
133 	-21.7463 	22.3568 	13.0909	0
134 	-23.1143 	23.7961 	13.0909	0
135 	-25.3696 	26.1593 	13.0909	0
136 	-27.8542 	28.758 	13.0909	0
137 	-26.4687 	27.3705 	13.0909	0
138 	-23.5209 	24.3786 	13.0909	0
139 	-22.86 	23.758 	13.0909	0
79 	-24.9495 	25.712 	13.0909	0
19 	-30.5138 	31.3249 	13.0909	0
140 	-21.2134 	22.108 	13.0909	0
80 	-24.2769 	25.1056 	13.0909	0
20 	-30.993 	31.8895 	13.0909	0
21 	-30.928 	31.8895 	13.0909	0
22 	-29.7488 	30.7378 	13.0909	0
