dt, snp, Rnp
0, 0, -0.3
16666.6666666667, 0, -5.63333333333333
33333.3333333333, 0, -10.9666666666667
50000, 0, -16.3
66666.6666666667, 0, -21.6333333333333
83333.3333333333, 0, -26.9666666666667
100000, 0, -32.3
116666.666666667, 0, -37.6333333333333
133333.333333333, 0, -42.9666666666667
150000, 0, -48.3
166666.666666667, 0, -53.6333333333333
183333.333333333, 0, -58.9666666666667
200000, 0, -64.3
216666.666666667, 0, -69.6333333333334
233333.333333333, 0, -74.9666666666667
250000, 0, -80.3
266666.666666667, 0, -85.6333333333334
283333.333333333, 0, -90.9666666666667
300000, 0, -96.3
316666.666666667, 0, -101.633333333333
333333.333333333, 0, -106.966666666667
350000, 0, -112.3
366666.666666667, 0, -117.633333333333
383333.333333333, 0, -122.966666666667
400000, 0, -128.3
416666.666666667, 0, -133.633333333333
433333.333333333, 0, -138.966666666667
450000, 0, -144.3
466666.666666667, 0, -149.633333333333
483333.333333333, 0, -154.966666666667

0, 0.0344827586206897, -0.26551724137931
16666.6666666667, 0.0344827586206897, -5.58611172120946
33333.3333333333, 0.0344827586206897, -10.9067062010396
50000, 0.0344827586206897, -16.2273006808698
66666.6666666667, 0.0344827586206897, -21.5478951606999
83333.3333333333, 0.0344827586206897, -26.8684896405301
100000, 0.0344827586206897, -32.1890841203602
116666.666666667, 0.0344827586206897, -37.5096786001904
133333.333333333, 0.0344827586206897, -42.8302730800205
150000, 0.0344827586206897, -48.1508675598507
166666.666666667, 0.0344827586206897, -53.4714620396808
183333.333333333, 0.0344827586206897, -58.792056519511
200000, 0.0344827586206897, -64.1126509993411
216666.666666667, 0.0344827586206897, -69.4332454791713
233333.333333333, 0.0344827586206897, -74.7538399590014
250000, 0.0344827586206897, -80.0744344388316
266666.666666667, 0.0344827586206897, -85.3950289186617
283333.333333333, 0.0344827586206897, -90.7156233984919
300000, 0.0344827586206897, -96.036217878322
316666.666666667, 0.0344827586206897, -101.356812358152
333333.333333333, 0.0344827586206897, -106.677406837982
350000, 0.0344827586206897, -111.998001317812
366666.666666667, 0.0344827586206897, -117.318595797643
383333.333333333, 0.0344827586206897, -122.639190277473
400000, 0.0344827586206897, -127.959784757303
416666.666666667, 0.0344827586206897, -133.280379237133
433333.333333333, 0.0344827586206897, -138.600973716963
450000, 0.0344827586206897, -143.921568196793
466666.666666667, 0.0344827586206897, -149.242162676624
483333.333333333, 0.0344827586206897, -154.562757156454

0, 0.0689655172413793, -0.231034482758621
16666.6666666667, 0.0689655172413793, -5.50979755688322
33333.3333333333, 0.0689655172413793, -10.7885606310078
50000, 0.0689655172413793, -16.0673237051324
66666.6666666667, 0.0689655172413793, -21.346086779257
83333.3333333333, 0.0689655172413793, -26.6248498533816
100000, 0.0689655172413793, -31.9036129275062
116666.666666667, 0.0689655172413793, -37.1823760016308
133333.333333333, 0.0689655172413793, -42.4611390757555
150000, 0.0689655172413793, -47.7399021498801
166666.666666667, 0.0689655172413793, -53.0186652240047
183333.333333333, 0.0689655172413793, -58.2974282981293
200000, 0.0689655172413793, -63.5761913722539
216666.666666667, 0.0689655172413793, -68.8549544463785
233333.333333333, 0.0689655172413793, -74.1337175205031
250000, 0.0689655172413793, -79.4124805946277
266666.666666667, 0.0689655172413793, -84.6912436687523
283333.333333333, 0.0689655172413793, -89.9700067428769
300000, 0.0689655172413793, -95.2487698170015
316666.666666667, 0.0689655172413793, -100.527532891126
333333.333333333, 0.0689655172413793, -105.806295965251
350000, 0.0689655172413793, -111.085059039375
366666.666666667, 0.0689655172413793, -116.3638221135
383333.333333333, 0.0689655172413793, -121.642585187624
400000, 0.0689655172413793, -126.921348261749
416666.666666667, 0.0689655172413793, -132.200111335874
433333.333333333, 0.0689655172413793, -137.478874409998
450000, 0.0689655172413793, -142.757637484123
466666.666666667, 0.0689655172413793, -148.036400558247
483333.333333333, 0.0689655172413793, -153.315163632372

0, 0.103448275862069, -0.196551724137931
16666.6666666667, 0.103448275862069, -5.3984981961574
33333.3333333333, 0.103448275862069, -10.6004446681769
50000, 0.103448275862069, -15.8023911401963
66666.6666666667, 0.103448275862069, -21.0043376122158
83333.3333333333, 0.103448275862069, -26.2062840842353
100000, 0.103448275862069, -31.4082305562547
116666.666666667, 0.103448275862069, -36.6101770282742
133333.333333333, 0.103448275862069, -41.8121235002937
150000, 0.103448275862069, -47.0140699723131
166666.666666667, 0.103448275862069, -52.2160164443326
183333.333333333, 0.103448275862069, -57.4179629163521
200000, 0.103448275862069, -62.6199093883715
216666.666666667, 0.103448275862069, -67.821855860391
233333.333333333, 0.103448275862069, -73.0238023324105
250000, 0.103448275862069, -78.2257488044299
266666.666666667, 0.103448275862069, -83.4276952764494
283333.333333333, 0.103448275862069, -88.6296417484689
300000, 0.103448275862069, -93.8315882204883
316666.666666667, 0.103448275862069, -99.0335346925078
333333.333333333, 0.103448275862069, -104.235481164527
350000, 0.103448275862069, -109.437427636547
366666.666666667, 0.103448275862069, -114.639374108566
383333.333333333, 0.103448275862069, -119.841320580586
400000, 0.103448275862069, -125.043267052605
416666.666666667, 0.103448275862069, -130.245213524625
433333.333333333, 0.103448275862069, -135.447159996644
450000, 0.103448275862069, -140.649106468664
466666.666666667, 0.103448275862069, -145.851052940683
483333.333333333, 0.103448275862069, -151.052999412702

0, 0.137931034482759, -0.162068965517241
